# TEST CONFIGURATION BEGIN
# File Stream: filename: poker.data.csv  -  n_targets: 1
# [M0] KNN: - n_neighbors: 10 - max_window_size: 100 - leaf_size: 30
# [M1] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: result_poker.csv - batch_size: 1 - pretrain_size: 1000 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_acc_[M1],current_acc_[M1],mean_acc_[M2],current_acc_[M2],mean_kappa_[M0],current_kappa_[M0],mean_kappa_[M1],current_kappa_[M1],mean_kappa_[M2],current_kappa_[M2]
1000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
1001,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000
1002,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,-0.500000,-0.500000,0.000000,0.000000,-0.500000,-0.500000
1003,0.250000,0.250000,0.250000,0.250000,0.500000,0.500000,-0.500000,-0.500000,0.000000,0.000000,-0.333333,-0.333333
1004,0.200000,0.200000,0.200000,0.200000,0.400000,0.400000,-0.428571,-0.428571,0.000000,0.000000,-0.363636,-0.363636
1199,0.470000,0.470000,0.515000,0.515000,0.465000,0.465000,-0.035611,-0.035611,0.000000,0.000000,-0.019145,-0.019145
1399,0.460000,0.450000,0.510000,0.505000,0.455000,0.445000,-0.051709,-0.068947,0.000000,0.000000,-0.054975,-0.086212
1599,0.465000,0.475000,0.496667,0.470000,0.441667,0.415000,-0.026280,0.023710,0.000000,0.000000,-0.068410,-0.088879
1799,0.457500,0.435000,0.502500,0.520000,0.458750,0.510000,-0.046035,-0.106975,0.000000,0.000000,-0.039229,0.051445
1999,0.477000,0.555000,0.499000,0.485000,0.470000,0.515000,-0.004975,0.155718,0.000000,0.000000,-0.015547,0.079216
2199,0.470000,0.435000,0.496667,0.485000,0.475833,0.505000,-0.014014,-0.063479,0.000000,0.000000,-0.002678,0.061166
2399,0.479286,0.535000,0.487143,0.430000,0.470000,0.435000,0.013761,0.151382,0.000000,0.000000,-0.005266,-0.019396
2599,0.483750,0.515000,0.491250,0.520000,0.473750,0.500000,0.023432,0.076146,0.000000,0.000000,0.002580,0.048978
2799,0.489444,0.535000,0.492778,0.505000,0.476667,0.500000,0.032758,0.108470,0.000000,0.000000,0.005046,0.023866
2999,0.494500,0.540000,0.487000,0.435000,0.482500,0.535000,0.046042,0.125725,0.000000,0.000000,0.018821,0.143568
3199,0.495455,0.505000,0.485909,0.475000,0.482727,0.485000,0.048280,0.068454,0.000000,0.000000,0.019552,0.027797
3399,0.497500,0.520000,0.488750,0.520000,0.479167,0.440000,0.048897,0.048846,0.000000,0.000000,0.010047,-0.094926
